Response to campaign,Pre-campaign expenditure,Pre-campaign visits,Pre-campaign visits category,Post-campaign visits,Post-campaign spend category,Post-campaign visit category,Gender,Age
Responder,83,5,5 Or More Visits,2,£50-£100,2 Visits,Female,36
Responder,119,6,5 Or More Visits,1,Under £50,1 Visit,Female,36
Responder,111,4,4 Visits,3,£50-£100,3 Visits,Female,36
Non-responder,107,7,5 Or More Visits,0,Under £50,No Visits,Female,37
Responder,35,5,5 Or More Visits,2,£200-£250,2 Visits,Male,37
Responder,93,5,5 Or More Visits,2,Under £50,2 Visits,Male,37
Non-responder,67,7,5 Or More Visits,0,Under £50,No Visits,Male,37
Responder,107,5,5 Or More Visits,2,Under £50,2 Visits,Female,38
Responder,60,4,4 Visits,3,Under £50,3 Visits,Male,38
Responder,70,6,5 Or More Visits,1,Under £50,1 Visit,Male,38
Responder,59,4,4 Visits,3,Under £50,3 Visits,Male,38
Non-responder,215,7,5 Or More Visits,0,Under £50,No Visits,Male,38
Non-responder,56,7,5 Or More Visits,0,Under £50,No Visits,Male,38
Responder,166,5,5 Or More Visits,2,£200-£250,2 Visits,Male,39
Non-responder,80,7,5 Or More Visits,0,Under £50,No Visits,Male,39
Non-responder,51,7,5 Or More Visits,0,Under £50,No Visits,Male,39
Responder,86,6,5 Or More Visits,1,Under £50,1 Visit,Female,40
Responder,120,4,4 Visits,3,£50-£100,3 Visits,Male,40
Responder,94,6,5 Or More Visits,1,Under £50,1 Visit,Male,40
Responder,85,6,5 Or More Visits,1,Under £50,1 Visit,Male,40
Non-responder,80,7,5 Or More Visits,0,Under £50,No Visits,Female,42
Non-responder,40,7,5 Or More Visits,0,Under £50,No Visits,Male,42
